Skills,Experience,Education,Certifications,Job_Role,Recruiter_Decision,Salary_Expectation,Projects_Count,AI_Score,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelA_Hire_Prob,ModelA_Prediction,ModelA_Pred_Label,ModelA_Rank
"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,106464,5,95,3,2,3,2,1.0,1,Hire,1
"SQL, Python, Machine Learning",6,B.Sc,AWS Certified,Data Scientist,Hire,52824,9,100,2,0,2,0,1.0,1,Hire,1
"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,Hire,72948,10,100,4,1,0,4,1.0,1,Hire,1
"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,71601,9,100,3,2,1,2,1.0,1,Hire,1
"Python, Pytorch, TensorFlow",1,M.Tech,,AI Researcher,Hire,88349,10,75,3,3,0,2,1.0,1,Hire,1
"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,Hire,104087,4,100,3,2,1,3,1.0,1,Hire,1
"C++, React, SQL, Java",1,M.Tech,Google ML,Software Engineer,Hire,49305,9,85,3,2,3,2,1.0,1,Hire,1
"TensorFlow, Python, NLP",10,MBA,,AI Researcher,Hire,63362,6,100,3,3,0,3,1.0,1,Hire,1
"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102150,3,95,3,1,1,2,1.0,1,Hire,1
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,Hire,114879,8,100,3,2,2,3,1.0,1,Hire,1
"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,Hire,53699,8,70,2,0,3,1,1.0,1,Hire,1
"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,Hire,101293,0,100,3,0,0,2,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,Hire,78344,10,85,3,0,1,3,1.0,1,Hire,1
"React, SQL, C++",1,MBA,,Software Engineer,Hire,88441,10,75,3,3,3,3,1.0,1,Hire,1
"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,Hire,59652,10,85,4,0,1,4,1.0,1,Hire,1
"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,Hire,71756,2,100,2,2,0,0,1.0,1,Hire,1
"Java, SQL",3,PhD,Google ML,Software Engineer,Hire,112396,10,100,4,2,3,4,1.0,1,Hire,1
"NLP, Pytorch, TensorFlow",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,66221,4,100,2,1,0,1,1.0,1,Hire,1
"Machine Learning, Python, Deep Learning",3,M.Tech,,Data Scientist,Hire,81656,7,80,3,3,2,2,1.0,1,Hire,1
"Python, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,Hire,95958,2,100,2,1,2,1,1.0,1,Hire,1
"Pytorch, NLP, Python",10,M.Tech,Deep Learning Specialization,AI Researcher,Hire,106554,2,100,3,1,0,2,1.0,1,Hire,1
"Pytorch, Python, TensorFlow",7,B.Sc,,AI Researcher,Hire,53796,3,100,2,3,0,0,1.0,1,Hire,1
"Python, Deep Learning",7,B.Tech,,Data Scientist,Hire,104891,2,90,2,3,2,1,1.0,1,Hire,1
"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,Hire,99238,1,100,3,2,0,3,1.0,1,Hire,1
"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,53165,8,100,3,0,1,2,1.0,1,Hire,1
"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,Hire,99469,9,70,2,2,1,1,1.0,1,Hire,1
"TensorFlow, Python, NLP",6,B.Tech,Google ML,AI Researcher,Hire,88432,4,100,2,2,0,1,1.0,1,Hire,1
"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,104969,8,100,2,1,3,1,1.0,1,Hire,1
"Linux, Networking",6,PhD,,Cybersecurity Analyst,Hire,85029,9,100,4,3,1,4,1.0,1,Hire,1
"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,80085,10,100,3,1,1,3,1.0,1,Hire,1
"NLP, TensorFlow, Python, Pytorch",0,M.Tech,Google ML,AI Researcher,Hire,119583,8,70,3,2,0,2,1.0,1,Hire,1
"Pytorch, TensorFlow, NLP",4,B.Sc,,AI Researcher,Hire,59560,5,80,2,3,0,0,1.0,1,Hire,1
"Java, React, C++, SQL",8,B.Tech,Google ML,Software Engineer,Hire,63268,7,100,2,2,3,1,1.0,1,Hire,1
"Python, Deep Learning, SQL, Machine Learning",5,MBA,Google ML,Data Scientist,Hire,69257,0,80,3,2,2,3,1.0,1,Hire,1
"Python, Machine Learning",7,B.Sc,AWS Certified,Data Scientist,Hire,55994,2,100,2,0,2,0,1.0,1,Hire,1
"Deep Learning, Machine Learning, SQL",5,M.Tech,,Data Scientist,Hire,79635,9,100,3,3,2,2,1.0,1,Hire,1
"SQL, Machine Learning, Deep Learning, Python",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,117621,5,100,3,1,2,2,1.0,1,Hire,1
"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102962,7,85,3,1,1,2,1.0,1,Hire,1
"SQL, C++",7,B.Sc,AWS Certified,Software Engineer,Hire,47957,7,100,2,0,3,0,1.0,1,Hire,1
"Machine Learning, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,Hire,78218,10,100,3,1,2,2,1.0,1,Hire,1
"Pytorch, NLP",1,MBA,,AI Researcher,Reject,105641,2,30,3,3,0,3,1.0,1,Hire,1
"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,81778,4,100,2,1,3,0,1.0,1,Hire,1
"Ethical Hacking, Networking",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,119478,2,90,2,0,1,0,1.0,1,Hire,1
"SQL, C++, React",3,B.Tech,,Software Engineer,Hire,112003,7,80,2,3,3,1,1.0,1,Hire,1
