Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,53286,5,100.0,Hire,2,1,2,0,0.9933,1,Hire,1
"Pytorch, Python, TensorFlow",7,B.Sc,None,AI Researcher,53796,3,99.3,Hire,2,3,0,0,0.9933,1,Hire,1
"Java, C++",3,PhD,Deep Learning Specialization,Software Engineer,53518,7,77.4,Hire,4,1,3,4,0.9933,1,Hire,1
"C++, Java, React",4,MBA,Google ML,Software Engineer,53412,0,58.6,Hire,3,2,3,3,0.9933,1,Hire,1
"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,53855,8,91.0,Hire,3,1,1,3,0.9933,1,Hire,1
"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,53699,8,71.4,Hire,2,0,3,1,0.9933,1,Hire,1
"Java, C++, SQL",10,MBA,None,Software Engineer,53207,1,97.3,Hire,3,3,3,3,0.9933,1,Hire,1
"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,53165,8,98.3,Hire,3,0,1,2,0.9912,1,Hire,8
"Pytorch, TensorFlow, NLP, Python",5,MBA,AWS Certified,AI Researcher,53097,0,86.1,Hire,3,0,0,3,0.9912,1,Hire,8
"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,53167,9,100.0,Hire,2,1,2,1,0.9912,1,Hire,8
"Java, React",6,PhD,Google ML,Software Engineer,80278,4,100.0,Hire,4,2,3,4,0.991,1,Hire,11
"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,81778,4,100.0,Hire,2,1,3,0,0.991,1,Hire,11
"C++, Java, React, SQL",9,MBA,AWS Certified,Software Engineer,81897,4,97.0,Hire,3,0,3,3,0.991,1,Hire,11
"Networking, Linux",10,PhD,None,Cybersecurity Analyst,82245,2,100.0,Hire,4,3,1,4,0.991,1,Hire,11
"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,82007,10,84.6,Hire,3,1,3,2,0.991,1,Hire,11
"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,80085,10,93.3,Hire,3,1,1,3,0.991,1,Hire,11
"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,81596,3,97.6,Hire,3,2,1,2,0.991,1,Hire,11
"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,82004,2,91.4,Reject,2,2,2,0,0.991,1,Hire,11
"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,79991,10,85.2,Hire,3,1,2,2,0.991,1,Hire,11
"Linux, Networking, Ethical Hacking",7,B.Sc,None,Cybersecurity Analyst,79874,6,100.0,Hire,2,3,1,0,0.991,1,Hire,11
"Python, NLP, Pytorch",2,PhD,AWS Certified,AI Researcher,80377,1,51.8,Hire,4,0,0,4,0.991,1,Hire,11
"Cybersecurity, Linux, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,81422,10,94.2,Hire,3,1,1,3,0.991,1,Hire,11
"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,80393,10,100.0,Hire,3,1,0,3,0.991,1,Hire,11
"Networking, Ethical Hacking, Linux, Cybersecurity",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,80779,5,93.8,Hire,2,1,1,1,0.991,1,Hire,11
"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,82119,2,100.0,Hire,2,1,0,0,0.991,1,Hire,11
"Java, SQL",5,B.Tech,Google ML,Software Engineer,81801,1,68.0,Hire,2,2,3,1,0.991,1,Hire,11
"C++, SQL, Java",6,PhD,AWS Certified,Software Engineer,80373,8,100.0,Hire,4,0,3,4,0.991,1,Hire,11
"Pytorch, TensorFlow, Python",8,M.Tech,None,AI Researcher,82202,5,100.0,Hire,3,3,0,2,0.991,1,Hire,11
"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,None,Data Scientist,82012,7,72.3,Reject,3,3,2,2,0.991,1,Hire,11
"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,79930,9,100.0,Hire,2,0,2,0,0.991,1,Hire,11
"SQL, React, Java",0,M.Tech,None,Software Engineer,81417,0,8.1,Reject,3,3,3,2,0.991,1,Hire,11
"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,82093,9,100.0,Hire,3,1,0,2,0.991,1,Hire,11
"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,81970,10,67.1,Hire,4,1,0,4,0.991,1,Hire,11
"Machine Learning, Deep Learning, SQL, Python",2,PhD,AWS Certified,Data Scientist,80720,6,76.8,Hire,4,0,2,4,0.991,1,Hire,11
"Pytorch, TensorFlow",3,MBA,None,AI Researcher,81415,7,73.2,Hire,3,3,0,3,0.991,1,Hire,11
"Machine Learning, Python, Deep Learning",3,M.Tech,None,Data Scientist,81656,7,83.2,Hire,3,3,2,2,0.991,1,Hire,11
"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,82119,8,85.5,Hire,4,0,2,4,0.991,1,Hire,11
"Deep Learning, SQL, Machine Learning",6,MBA,Deep Learning Specialization,Data Scientist,79795,8,92.2,Hire,3,1,2,3,0.991,1,Hire,11
"Python, NLP",7,M.Tech,Google ML,AI Researcher,80936,3,100.0,Hire,3,2,0,2,0.991,1,Hire,11
"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,80647,8,81.1,Hire,2,1,1,1,0.991,1,Hire,11
"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,80736,2,90.4,Hire,2,0,0,1,0.991,1,Hire,11
"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,80517,8,77.5,Hire,3,0,3,2,0.991,1,Hire,11
"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,80534,6,93.3,Hire,2,2,2,1,0.991,1,Hire,11
"SQL, Java, React",2,B.Tech,None,Software Engineer,82150,4,44.9,Hire,2,3,3,1,0.991,1,Hire,11
"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,50784,0,99.6,Hire,3,1,1,3,0.9907,1,Hire,45
"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,51113,0,100.0,Hire,3,2,3,2,0.9907,1,Hire,45
