Skills,Experience,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Salary_Expectation,Projects_Count
"Deep Learning, Python",9,2,2,2,91723,8
"Linux, Ethical Hacking, Cybersecurity",4,4,0,1,96836,1
"Pytorch, NLP, TensorFlow, Python",7,3,0,0,51478,9
"Pytorch, NLP, Python, TensorFlow",1,3,2,0,94795,7
"Pytorch, Python",5,2,1,0,89338,1
"Ethical Hacking, Linux, Networking, Cybersecurity",6,3,3,1,56426,1
"Networking, Cybersecurity, Ethical Hacking",8,3,3,1,65748,4
"Cybersecurity, Networking",7,3,2,1,117696,4
"TensorFlow, NLP, Python, Pytorch",3,2,3,0,95357,8
"Networking, Cybersecurity, Ethical Hacking, Linux",0,4,0,1,62201,5
"Python, Pytorch",7,2,3,0,98548,7
"SQL, React, Java, C++",9,3,2,3,95141,7
"NLP, TensorFlow, Python, Pytorch",8,3,3,0,50831,3
"Machine Learning, Deep Learning, SQL, Python",1,4,3,2,60495,7
"Python, Pytorch, TensorFlow, NLP",8,2,0,0,65345,8
"TensorFlow, NLP, Pytorch",6,2,1,0,63269,0
"NLP, TensorFlow, Python, Pytorch",9,4,0,0,112005,10
"Python, Machine Learning, SQL, Deep Learning",7,4,0,2,62092,2
"Java, SQL, React",3,3,0,3,104253,8
"Pytorch, NLP, Python, TensorFlow",1,3,3,0,84774,9
"Java, SQL, C++, React",10,3,2,3,51113,0
"Deep Learning, SQL, Python, Machine Learning",8,3,0,2,100345,0
"Linux, Ethical Hacking, Networking, Cybersecurity",6,2,0,1,59082,5
"Python, Machine Learning, Deep Learning, SQL",7,3,2,2,112572,5
"React, Java",3,2,3,3,44106,0
"C++, SQL, Java",5,2,2,3,97505,7
"TensorFlow, Python, NLP, Pytorch",1,2,0,0,40186,1
"SQL, Java",1,2,2,3,45989,7
"Networking, Cybersecurity, Ethical Hacking, Linux",4,3,2,1,91996,8
"Deep Learning, Machine Learning, Python, SQL",5,2,0,2,78601,7
"Python, SQL, Deep Learning",2,4,0,2,82119,8
"NLP, Pytorch, TensorFlow",7,2,1,0,66221,4
"Cybersecurity, Linux",8,2,2,1,90950,10
"Java, C++, React, SQL",8,4,2,3,77705,0
"Pytorch, NLP, TensorFlow",7,2,1,0,106421,2
"Ethical Hacking, Cybersecurity",8,2,1,1,58775,3
"Networking, Linux, Cybersecurity, Ethical Hacking",7,2,0,1,103102,2
"Python, Pytorch, TensorFlow",0,3,1,0,54236,6
"Networking, Linux, Ethical Hacking, Cybersecurity",0,3,3,1,108549,2
"C++, SQL, React, Java",6,4,0,3,43584,9
"Networking, Ethical Hacking, Cybersecurity, Linux",2,3,3,1,60745,0
"SQL, Deep Learning, Python",0,2,2,2,93534,5
"Pytorch, TensorFlow, Python, NLP",10,4,2,0,99512,2
"Python, Pytorch, TensorFlow, NLP",7,2,2,0,75507,7
"Pytorch, NLP",0,2,3,0,42924,7
"Linux, Cybersecurity, Ethical Hacking",4,3,3,1,114988,5
